2025-10-06 15:44:08 | Palabra: NARANJA | Resultado: GANADO | Intentos restantes: 4
2025-10-06 15:44:47 | Palabra: GRANADA | Resultado: PERDIDO | Intentos restantes: 0
2025-10-06 15:45:03 | Palabra: FRESA | Resultado: GANADO | Intentos restantes: 2
2025-10-06 15:45:09 | Palabra: SANDIA | Resultado: PERDIDO | Intentos restantes: 0
2025-10-06 15:45:41 | Palabra: NARANJA | Resultado: GANADO | Intentos restantes: 2
2025-10-06 15:49:19 | Palabra: UVA | Resultado: GANADO | Intentos restantes: 3
2025-10-06 15:49:48 | Palabra: KIWI | Resultado: GANADO | Intentos restantes: 3
2025-10-06 15:50:09 | Palabra: CEREZA | Resultado: PERDIDO | Intentos restantes: 0
2025-10-06 15:50:46 | Palabra: OSO | Resultado: PERDIDO | Intentos restantes: 0
2025-10-06 15:50:59 | Palabra: LEON | Resultado: PERDIDO | Intentos restantes: 0
2025-10-06 15:51:21 | Palabra: JIRAFA | Resultado: GANADO | Intentos restantes: 4
