2025-10-05 20:21:23 | Palabra: RESETEAR | Resultado: GANADO | Intentos restantes: 1
2025-10-05 20:24:42 | Palabra: DOCKER | Resultado: GANADO | Intentos restantes: 1
2025-10-05 20:24:55 | Palabra: RESETEAR | Resultado: GANADO | Intentos restantes: 1
2025-10-05 20:24:59 | Palabra: PARECE | Resultado: GANADO | Intentos restantes: 1
2025-10-05 20:25:15 | Palabra: FUNCION | Resultado: PERDIDO | Intentos restantes: 0
2025-10-05 20:26:47 | Palabra: LICENCIA | Resultado: GANADO | Intentos restantes: 1
2025-10-05 20:26:51 | Palabra: CLASE | Resultado: GANADO | Intentos restantes: 1
2025-10-05 20:34:39 | Palabra: DOCKER | Resultado: GANADO | Intentos restantes: 1
2025-10-05 20:41:33 | Palabra: UVA | Resultado: GANADO | Intentos restantes: 4
2025-10-05 20:41:48 | Palabra: NATACION | Resultado: GANADO | Intentos restantes: 1
2025-10-05 20:41:56 | Palabra: LEON | Resultado: GANADO | Intentos restantes: 2
2025-10-05 20:50:26 | Palabra: COCO | Resultado: GANADO | Intentos restantes: 4
2025-10-05 20:50:35 | Palabra: TITANIC | Resultado: GANADO | Intentos restantes: 1
2025-10-05 20:50:56 | Palabra: COLOMBIA | Resultado: PERDIDO | Intentos restantes: 0
2025-10-05 20:51:18 | Palabra: ARDILLA | Resultado: GANADO | Intentos restantes: 1
